"timestamp","id","variable","user","source","unit","category","original_value"
"8/18/2015 00:00:00","44997602","Calories Burned","230","Fitbit","Calories","Physical Activity","0"
"8/18/2015 00:00:00","44997642","Distance","230","Fitbit","Kilometers","Physical Activity","0"
"8/18/2015 00:00:00","44997622","Steps","230","Fitbit","Count","Physical Activity","0"
"8/18/2015 00:00:00","44997562","Sleep Duration","230","Fitbit","Minutes","Sleep","0"
"8/18/2015 00:00:00","44997582","Awakenings","230","Fitbit","Count","Sleep","0"
"8/18/2015 00:00:00","44997662","Elevation","230","Fitbit","Meters","Physical Activity","0"
"8/17/2015 22:00:00","44984572","Temperature at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Degrees Celsius","Environment","23"
"8/17/2015 22:00:00","44984652","Pressure at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Pascal","Environment","101300"
"8/17/2015 22:00:00","44984732","Humidity at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Percent","Environment","90"
"8/17/2015 22:00:00","44984812","Visibility at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Kilometers","Environment","10"
"8/17/2015 22:00:00","44984892","Precipitation at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Millimeters","Environment","0"
"8/17/2015 22:00:00","44984972","Cloud cover amount at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Percent","Environment","2"
"8/17/2015 19:00:00","44984562","Temperature at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Degrees Celsius","Environment","27"
"8/17/2015 19:00:00","44984642","Pressure at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Pascal","Environment","101200"
"8/17/2015 19:00:00","44984722","Humidity at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Percent","Environment","75"
"8/17/2015 19:00:00","44984802","Visibility at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Kilometers","Environment","10"
"8/17/2015 19:00:00","44984882","Precipitation at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Millimeters","Environment","0.1"
"8/17/2015 19:00:00","44984962","Cloud cover amount at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Percent","Environment","0"
"8/17/2015 17:12:01","44992622","Overall Mood","230","MoodiModo Ionic","1 to 5 rating","Mood","3"
"8/17/2015 17:11:53","44992612","Overall Mood","230","MoodiModo Ionic","1 to 5 rating","Mood","3"
"8/17/2015 16:00:00","44984552","Temperature at Glen Carbon Crossing, Illinois, United States of America","230","Weather","Degrees Celsius","Environment","31"
